epoch,loss,next_day_loss,next_day_mae,next_week_loss,next_week_mae,val_loss,val_next_day_loss,val_next_day_mae,val_next_week_loss,val_next_week_mae,learning_rate
0,0.7322636842727661,0.3009710907936096,0.3902813196182251,0.4264061450958252,0.4837850034236908,0.4261515438556671,0.1874309480190277,0.3355310261249542,0.2656114101409912,0.3972279727458954,0.0010000000474974513
1,0.4157051742076874,0.1615058034658432,0.27944129705429077,0.25085511803627014,0.3668252229690552,0.481058806180954,0.17601488530635834,0.31789159774780273,0.32000353932380676,0.44855791330337524,0.0010000000474974513
2,0.3975095748901367,0.15020084381103516,0.271636039018631,0.24353823065757751,0.35836222767829895,0.34470707178115845,0.11741680651903152,0.25824254751205444,0.2542402148246765,0.3878484070301056,0.0010000000474974513
3,0.3606531620025635,0.1307806819677353,0.24741244316101074,0.2281162440776825,0.3416999876499176,0.407786101102829,0.12677329778671265,0.266823947429657,0.322397917509079,0.4359968900680542,0.0010000000474974513
4,0.35209745168685913,0.1302202045917511,0.2471938133239746,0.21943633258342743,0.3354438841342926,0.5066075325012207,0.15374161303043365,0.2946702241897583,0.3924804627895355,0.47740626335144043,0.0010000000474974513
5,0.33044612407684326,0.11963047087192535,0.23630017042160034,0.20836104452610016,0.32910725474357605,0.388794481754303,0.11156012862920761,0.24497616291046143,0.307811975479126,0.4215281903743744,0.0010000000474974513
6,0.30977126955986023,0.11422263085842133,0.230942040681839,0.19272853434085846,0.31461071968078613,0.5015076398849487,0.13971687853336334,0.27438265085220337,0.39156046509742737,0.47602546215057373,0.0010000000474974513
7,0.29274222254753113,0.10758792608976364,0.22513137757778168,0.1824726015329361,0.30416297912597656,0.4327295124530792,0.1362820714712143,0.2778853178024292,0.3193167746067047,0.42959707975387573,0.0010000000474974513
8,0.2806404232978821,0.10255222022533417,0.2170800417661667,0.1752425730228424,0.2965969443321228,0.4311418831348419,0.12329266220331192,0.2567867636680603,0.3427356779575348,0.44006627798080444,0.0005000000237487257
9,0.2578243613243103,0.09834512323141098,0.21160222589969635,0.15678761899471283,0.2790104150772095,0.47030001878738403,0.13904805481433868,0.27298396825790405,0.36896029114723206,0.4584195911884308,0.0005000000237487257
10,0.25579047203063965,0.09354721754789352,0.2047717124223709,0.1586945354938507,0.28200027346611023,0.447860985994339,0.12369998544454575,0.2589479386806488,0.35785993933677673,0.45223063230514526,0.0005000000237487257
11,0.2555878162384033,0.0970982238650322,0.20683985948562622,0.1561463475227356,0.27652785181999207,0.48829779028892517,0.1269693821668625,0.26344460248947144,0.3936595916748047,0.4719267785549164,0.0005000000237487257
12,0.24236761033535004,0.09470346570014954,0.20630338788032532,0.14499129354953766,0.27412712574005127,0.5112748146057129,0.12672416865825653,0.26265427470207214,0.4173930287361145,0.4938594102859497,0.0005000000237487257
13,0.2452019453048706,0.09162678569555283,0.20131316781044006,0.15070840716362,0.27515503764152527,0.5177346467971802,0.13143086433410645,0.26475954055786133,0.42217278480529785,0.49540647864341736,0.0002500000118743628
14,0.2351868450641632,0.09024732559919357,0.19857537746429443,0.14157675206661224,0.26755207777023315,0.5282812118530273,0.13609273731708527,0.26804664731025696,0.4254724681377411,0.4912535548210144,0.0002500000118743628
15,0.22695419192314148,0.08876855671405792,0.2016688585281372,0.13503555953502655,0.25925159454345703,0.5747076272964478,0.13573047518730164,0.2713530361652374,0.47536563873291016,0.5226852893829346,0.0002500000118743628
16,0.22904688119888306,0.08786340802907944,0.20038414001464844,0.1373860090970993,0.261355996131897,0.5375394225120544,0.13661351799964905,0.27169615030288696,0.4352799952030182,0.5008030533790588,0.0002500000118743628
17,0.223251610994339,0.08564536273479462,0.19673214852809906,0.1358257532119751,0.25987866520881653,0.5697317719459534,0.14260056614875793,0.27603083848953247,0.45824164152145386,0.5107569694519043,0.0002500000118743628
