epoch,loss,next_day_loss,next_day_mae,next_week_loss,next_week_mae,val_loss,val_next_day_loss,val_next_day_mae,val_next_week_loss,val_next_week_mae,learning_rate
0,0.800585925579071,0.31729596853256226,0.42232778668403625,0.47827059030532837,0.5290046334266663,1.9985597133636475,0.7357807159423828,0.6752372980117798,1.485005259513855,0.9681426286697388,0.0010000000474974513
1,0.48603153228759766,0.1711522787809372,0.31560850143432617,0.312625914812088,0.42907071113586426,1.9167150259017944,0.7197197079658508,0.6714708209037781,1.425808072090149,0.915887176990509,0.0010000000474974513
2,0.44316986203193665,0.15185418725013733,0.29452455043792725,0.28859609365463257,0.40946128964424133,1.5948048830032349,0.5411931872367859,0.5843290686607361,1.2337571382522583,0.865046501159668,0.0010000000474974513
3,0.4069095551967621,0.13615213334560394,0.2773659825325012,0.2689856290817261,0.3889909088611603,1.3269906044006348,0.46573325991630554,0.5240307450294495,1.059145212173462,0.7810934782028198,0.0010000000474974513
4,0.3744870126247406,0.12892775237560272,0.2713053524494171,0.24377883970737457,0.3695276081562042,2.23280930519104,0.8554916381835938,0.7564710974693298,1.6209490299224854,0.9992451071739197,0.0010000000474974513
5,0.3365388512611389,0.11861889809370041,0.25833868980407715,0.2169475257396698,0.3488468825817108,1.5329411029815674,0.4957219958305359,0.5680317878723145,1.2197721004486084,0.8618768453598022,0.0010000000474974513
6,0.3309595584869385,0.11502503603696823,0.2539786994457245,0.21361668407917023,0.3481875956058502,1.0925873517990112,0.37526845932006836,0.4777320325374603,0.8544188737869263,0.7152908444404602,0.0010000000474974513
7,0.3205888271331787,0.11014995723962784,0.24726998805999756,0.20735330879688263,0.34366926550865173,2.0837900638580322,0.7334418892860413,0.6830584406852722,1.5953456163406372,0.977657675743103,0.0010000000474974513
8,0.2975181043148041,0.1088344007730484,0.24665704369544983,0.1869964897632599,0.3248845338821411,1.7009222507476807,0.5947108268737793,0.6068408489227295,1.3397399187088013,0.8880515098571777,0.0010000000474974513
9,0.28089895844459534,0.10253659635782242,0.23996055126190186,0.17615336179733276,0.31311115622520447,1.5809053182601929,0.5194709897041321,0.5675233602523804,1.2533272504806519,0.8669540286064148,0.0010000000474974513
10,0.2714084982872009,0.1006278246641159,0.23936907947063446,0.1686648577451706,0.3079626262187958,1.4999382495880127,0.5250329971313477,0.5718859434127808,1.2020233869552612,0.8374054431915283,0.0010000000474974513
11,0.2559969425201416,0.09818312525749207,0.2365071326494217,0.15522679686546326,0.29757094383239746,1.453296184539795,0.5031322836875916,0.5501016974449158,1.148982286453247,0.8223240971565247,0.0010000000474974513
12,0.23646675050258636,0.09114467352628708,0.223609060049057,0.14355073869228363,0.2834191620349884,1.6706777811050415,0.5532819032669067,0.585878312587738,1.3192942142486572,0.8898187875747681,0.0005000000237487257
13,0.23205430805683136,0.08967921882867813,0.22073256969451904,0.13971281051635742,0.28409817814826965,1.997789978981018,0.6642164587974548,0.6333813667297363,1.6156376600265503,0.957575798034668,0.0005000000237487257
14,0.2197803258895874,0.08772777765989304,0.22459372878074646,0.12887126207351685,0.2742577791213989,1.7254382371902466,0.6263882517814636,0.6263829469680786,1.3121440410614014,0.8752465844154358,0.0005000000237487257
15,0.22347339987754822,0.08821392059326172,0.2214704155921936,0.1326085329055786,0.2749924957752228,1.993761420249939,0.6655659079551697,0.6424808502197266,1.6241344213485718,0.9600082039833069,0.0005000000237487257
16,0.21398766338825226,0.08690185099840164,0.22094056010246277,0.12396542727947235,0.26578599214553833,1.8546591997146606,0.4872613251209259,0.5471904277801514,1.6544437408447266,0.957297146320343,0.0005000000237487257
17,0.20280762016773224,0.0839829221367836,0.2158968150615692,0.11745457351207733,0.2560475468635559,2.0154170989990234,0.5971158742904663,0.5998573899269104,1.70801842212677,0.9799140691757202,0.0002500000118743628
18,0.1962369978427887,0.08307170867919922,0.21629776060581207,0.11102220416069031,0.2513662874698639,1.8870298862457275,0.5453091859817505,0.5800649523735046,1.6205719709396362,0.957935631275177,0.0002500000118743628
19,0.20069408416748047,0.0809221863746643,0.21012169122695923,0.11749570816755295,0.25782397389411926,1.8503979444503784,0.5488219857215881,0.5830385088920593,1.5924652814865112,0.9442748427391052,0.0002500000118743628
20,0.20093724131584167,0.07975861430168152,0.2115289866924286,0.11812185496091843,0.25861436128616333,1.7583521604537964,0.5812905430793762,0.6032843589782715,1.4033771753311157,0.9095613360404968,0.0002500000118743628
21,0.1912120282649994,0.08044171333312988,0.21109004318714142,0.10847966372966766,0.24654382467269897,2.0963401794433594,0.6238583326339722,0.624699056148529,1.7622109651565552,0.9993643760681152,0.0002500000118743628
