city,n_qubits,zero_capacity_sources,anchor_mw,next_day_forecast_mw,targets_were_deltas,qaoa_coal_mw,qaoa_hydro_mw,qaoa_wind_mw,qaoa_solar_mw,qaoa_battery_charge_mw,qaoa_battery_discharge_mw,qaoa_mismatch_mw,qaoa_battery_conflict,classical_coal_mw,classical_hydro_mw,classical_wind_mw,classical_solar_mw,classical_battery_charge_mw,classical_battery_discharge_mw,classical_mismatch_mw,classical_battery_conflict,classical_method,objective_gap,optimization_score,matched_optimum
Delhi,20,wind,9259.77,301.15,False,0.0,59.0,0.0,105.5,0.0,133.33,-3.32,False,0.0,59.0,0.0,105.5,0.0,133.33,-3.32,False,exact_brute_force,-5.820766091346741e-11,100.0,True
Mumbai,20,none,3717.12,102.86,False,0.0,0.0,0.0,242.32,133.33,0.0,6.13,False,0.0,0.0,230.86,0.0,133.33,0.0,-5.33,False,exact_brute_force,35.00629901251523,99.93,False
Pune,20,none,1328.83,37.27,False,0.0,104.42,0.0,0.0,66.67,0.0,0.48,False,0.0,104.42,0.0,0.0,66.67,0.0,0.48,False,exact_brute_force,7.275957614183426e-12,100.0,True
Bangalore,20,none,2040.53,50.81,False,0.0,0.0,0.0,0.0,0.0,66.67,15.86,False,0.0,0.0,0.0,0.0,0.0,66.67,15.86,False,exact_brute_force,0.0,100.0,True
Hyderabad,20,none,3229.66,78.18,False,0.0,0.0,9.6,0.0,66.67,133.33,-1.91,True,0.0,0.0,9.6,0.0,0.0,66.67,-1.91,False,exact_brute_force,3.000000000003638,99.99,False
Chennai,20,none,2379.83,59.37,False,0.0,0.0,0.0,0.0,133.33,200.0,7.3,True,0.0,0.0,0.0,0.0,0.0,66.67,7.3,False,exact_brute_force,5.999999999992724,99.97,False
Kolkata,20,wind,1405.48,33.79,False,0.0,207.62,0.0,26.47,200.0,0.0,0.3,False,0.0,207.62,0.0,26.47,200.0,0.0,0.3,False,exact_brute_force,-2.9103830456733704e-11,100.0,True
Ahmedabad,20,none,2194.17,57.48,False,0.0,0.0,0.0,0.0,0.0,66.67,9.19,False,0.0,0.0,0.0,249.47,200.0,0.0,-8.01,False,exact_brute_force,76.37235398902703,99.54,False
