city,state,n_train,n_val,n_test,test_start,test_end,epochs_run,next_day_mae_mw,next_day_rmse_mw,next_day_mape_pct,next_week_mae_mw,next_week_rmse_mw,next_week_mape_pct
Delhi,Delhi,1964,421,421,2023-06-06,2024-09-22,31,628.293,837.295,6.601,913.491,1199.588,9.622
Mumbai,Maharashtra,1964,421,421,2023-06-06,2024-09-22,21,229.274,262.249,5.272,428.563,477.529,10.0
Pune,Maharashtra,1964,421,421,2023-06-06,2024-09-22,22,94.465,106.171,6.086,124.442,141.175,7.98
Bangalore,Karnataka,1964,421,421,2023-06-06,2024-09-22,18,222.291,279.349,8.747,277.844,323.359,11.421
Hyderabad,Telangana,1964,421,421,2023-06-06,2024-09-22,18,200.361,249.807,6.621,329.454,411.267,10.87
Chennai,Tamil Nadu,1964,421,421,2023-06-06,2024-09-22,25,150.31,188.672,6.0,185.631,225.562,7.478
Kolkata,West Bengal,1964,421,421,2023-06-06,2024-09-22,22,152.828,184.162,10.685,199.722,246.22,13.894
Ahmedabad,Gujarat,1964,421,421,2023-06-06,2024-09-22,28,194.805,243.854,8.33,252.715,304.39,10.959
