epoch,loss,next_day_loss,next_day_mae,next_week_loss,next_week_mae,val_loss,val_next_day_loss,val_next_day_mae,val_next_week_loss,val_next_week_mae,learning_rate
0,0.7174103260040283,0.30495133996009827,0.4150862395763397,0.4083045423030853,0.4856856167316437,0.8916125893592834,0.3523121178150177,0.4668637812137604,0.5281046032905579,0.6044251918792725,0.0010000000474974513
1,0.491325706243515,0.19641193747520447,0.32020995020866394,0.29009753465652466,0.4088563323020935,0.8031120300292969,0.32434549927711487,0.4168953001499176,0.5203894972801208,0.5795144438743591,0.0010000000474974513
2,0.4346948564052582,0.17641402781009674,0.29816821217536926,0.25525549054145813,0.38123437762260437,0.7662080526351929,0.2798791229724884,0.36991995573043823,0.5349989533424377,0.5793035626411438,0.0010000000474974513
3,0.4113173484802246,0.1653653383255005,0.2871273458003998,0.24122373759746552,0.3706997036933899,0.8153002262115479,0.32801076769828796,0.3959239721298218,0.6005659103393555,0.6021416187286377,0.0010000000474974513
4,0.37528684735298157,0.1501263529062271,0.2741782069206238,0.22261175513267517,0.3517395555973053,0.8805872797966003,0.34235650300979614,0.3980909287929535,0.7108650207519531,0.6246894001960754,0.0010000000474974513
5,0.3687507212162018,0.14190419018268585,0.2656507194042206,0.22299852967262268,0.34791693091392517,0.8803865909576416,0.33415332436561584,0.40622830390930176,0.6591798067092896,0.6292588114738464,0.0010000000474974513
6,0.35253283381462097,0.13594819605350494,0.25973254442214966,0.21258249878883362,0.3458385169506073,0.7983626127243042,0.2948848605155945,0.37112411856651306,0.5997174382209778,0.5975755453109741,0.0010000000474974513
7,0.35038062930107117,0.13871464133262634,0.2630074620246887,0.2080240249633789,0.3354177176952362,0.8620602488517761,0.3065010607242584,0.3743329644203186,0.7030986547470093,0.637766420841217,0.0010000000474974513
8,0.3215721845626831,0.1258399337530136,0.24862220883369446,0.19119787216186523,0.3215516209602356,0.8042156100273132,0.27237558364868164,0.3544621765613556,0.6328858137130737,0.6137990355491638,0.0005000000237487257
9,0.30360907316207886,0.12287118285894394,0.24073462188243866,0.17720265686511993,0.3149488866329193,0.8356104493141174,0.2874583303928375,0.37480008602142334,0.6331261992454529,0.6261944770812988,0.0005000000237487257
10,0.2941568195819855,0.11547437310218811,0.24130022525787354,0.17485734820365906,0.3039248287677765,0.7863078117370605,0.258731484413147,0.3444747030735016,0.6156539916992188,0.6053990125656128,0.0005000000237487257
11,0.29284200072288513,0.11907415091991425,0.23989130556583405,0.16933678090572357,0.30266058444976807,0.8472352623939514,0.2836119532585144,0.3668535351753235,0.67196124792099,0.6288689970970154,0.0005000000237487257
12,0.28396162390708923,0.11369388550519943,0.2365206629037857,0.1662280261516571,0.29584288597106934,0.8335142135620117,0.2776830494403839,0.3606775403022766,0.6693326830863953,0.6326752305030823,0.0005000000237487257
13,0.2716395854949951,0.10774043947458267,0.22687220573425293,0.15988770127296448,0.28789034485816956,0.8244011998176575,0.2670958340167999,0.3476264178752899,0.6630435585975647,0.6178363561630249,0.0002500000118743628
14,0.2639673352241516,0.10721718519926071,0.22722598910331726,0.1524205356836319,0.2848379909992218,0.7780960202217102,0.23699308931827545,0.3265776038169861,0.6247541308403015,0.5995097756385803,0.0002500000118743628
15,0.2653283476829529,0.10770845413208008,0.22780866920948029,0.15317420661449432,0.2828623354434967,0.8538737893104553,0.28243452310562134,0.3607402443885803,0.6842595338821411,0.6318787932395935,0.0002500000118743628
16,0.251058429479599,0.10336306691169739,0.2267274558544159,0.14305220544338226,0.2745054066181183,0.7956019639968872,0.2453044205904007,0.33021411299705505,0.6372610926628113,0.6122225522994995,0.0002500000118743628
17,0.25888511538505554,0.10933282971382141,0.2296369969844818,0.14615803956985474,0.2790834605693817,0.8185772895812988,0.25692281126976013,0.3374083340167999,0.6656177639961243,0.6177657246589661,0.0002500000118743628
