epoch,loss,next_day_loss,next_day_mae,next_week_loss,next_week_mae,val_loss,val_next_day_loss,val_next_day_mae,val_next_week_loss,val_next_week_mae,learning_rate
0,1.0555510520935059,0.45072150230407715,0.4705941677093506,0.5997299551963806,0.5536900162696838,1.0810037851333618,0.42943620681762695,0.4892738461494446,0.6911538243293762,0.6298423409461975,0.0010000000474974513
1,0.8271526098251343,0.34248512983322144,0.39905884861946106,0.4792330861091614,0.4900963306427002,0.9536977410316467,0.39061984419822693,0.46081748604774475,0.6009083986282349,0.5968779921531677,0.0010000000474974513
2,0.7470051646232605,0.3155781328678131,0.38369593024253845,0.42570382356643677,0.4583595097064972,0.882484495639801,0.3558403551578522,0.44150465726852417,0.5596209764480591,0.5764254927635193,0.0010000000474974513
3,0.6829118132591248,0.2795895040035248,0.3520677089691162,0.3989473283290863,0.4437597692012787,0.8733506202697754,0.36594635248184204,0.43822866678237915,0.57221919298172,0.5776477456092834,0.0010000000474974513
4,0.638677179813385,0.2570071518421173,0.3373815715312958,0.3777869641780853,0.43200433254241943,0.8402450680732727,0.30397704243659973,0.40276241302490234,0.5749810338020325,0.5775106549263,0.0010000000474974513
5,0.594525158405304,0.24087880551815033,0.3215373158454895,0.3489845097064972,0.40730372071266174,0.8284250497817993,0.3235209286212921,0.40905413031578064,0.5657275319099426,0.5684158205986023,0.0010000000474974513
6,0.5663676261901855,0.23502779006958008,0.31501391530036926,0.3275180459022522,0.3993319571018219,0.7754368185997009,0.28851673007011414,0.41022589802742004,0.4937930405139923,0.552390456199646,0.0010000000474974513
7,0.5517749190330505,0.22978530824184418,0.3153561055660248,0.31607645750045776,0.3829980790615082,0.8128829598426819,0.3188348710536957,0.3964458703994751,0.5821555852890015,0.57049161195755,0.0010000000474974513
8,0.5170368552207947,0.21306052803993225,0.3091745376586914,0.2992250621318817,0.3718881607055664,0.7589178085327148,0.26888176798820496,0.3807249367237091,0.5167618989944458,0.567143440246582,0.0010000000474974513
9,0.4963974952697754,0.20852571725845337,0.2992677390575409,0.2828899025917053,0.36478525400161743,0.7565566897392273,0.2728120982646942,0.3829851448535919,0.5176284909248352,0.557788610458374,0.0010000000474974513
10,0.4730624556541443,0.18847981095314026,0.2891203463077545,0.27980121970176697,0.3599367141723633,0.7645014524459839,0.30783015489578247,0.3825293183326721,0.5375939011573792,0.5646549463272095,0.0010000000474974513
11,0.47254854440689087,0.20105209946632385,0.2962736487388611,0.2657080292701721,0.3464726507663727,0.7787670493125916,0.2831617295742035,0.37803247570991516,0.5615469217300415,0.5761553645133972,0.0010000000474974513
12,0.43876969814300537,0.17425501346588135,0.27835166454315186,0.2594638764858246,0.34167617559432983,0.8167452216148376,0.2921472191810608,0.37471142411231995,0.6172972321510315,0.5854001045227051,0.0010000000474974513
13,0.4258209764957428,0.16700655221939087,0.26645633578300476,0.25365546345710754,0.3290354311466217,0.7840267419815063,0.2620326280593872,0.36789992451667786,0.5761505365371704,0.5768517255783081,0.0010000000474974513
14,0.4134064316749573,0.17130428552627563,0.27392566204071045,0.23635877668857574,0.32534438371658325,0.7816739678382874,0.27043119072914124,0.3784997761249542,0.5473604798316956,0.5691483020782471,0.0010000000474974513
15,0.37350374460220337,0.154615119099617,0.25947296619415283,0.21302072703838348,0.31049850583076477,0.828355610370636,0.2952510714530945,0.3720921277999878,0.6316059827804565,0.5904352068901062,0.0005000000237487257
16,0.35699722170829773,0.14529195427894592,0.2558058202266693,0.20566129684448242,0.2985900938510895,0.8446176052093506,0.3157551884651184,0.38325655460357666,0.646673858165741,0.5940577983856201,0.0005000000237487257
17,0.34222176671028137,0.14055293798446655,0.2526567876338959,0.19656524062156677,0.29559651017189026,0.8259742259979248,0.29742392897605896,0.3714596927165985,0.6502176523208618,0.589737594127655,0.0005000000237487257
18,0.34318122267723083,0.13880892097949982,0.25316110253334045,0.19949305057525635,0.29598376154899597,0.8240037560462952,0.29015836119651794,0.3620785176753998,0.6672608256340027,0.5916879773139954,0.0005000000237487257
19,0.3321128785610199,0.13253287971019745,0.24629691243171692,0.19419726729393005,0.2945134937763214,0.7906023859977722,0.28472980856895447,0.36581507325172424,0.5903987884521484,0.5761438608169556,0.0005000000237487257
20,0.31923708319664,0.13748276233673096,0.24125394225120544,0.17628465592861176,0.2797051668167114,0.8136104941368103,0.28611940145492554,0.3665303587913513,0.641752302646637,0.585415780544281,0.0002500000118743628
21,0.2905602753162384,0.12643611431121826,0.24080732464790344,0.1601380705833435,0.28073757886886597,0.8648241758346558,0.30441299080848694,0.3687836825847626,0.7230640053749084,0.6027222275733948,0.0002500000118743628
22,0.28060922026634216,0.11470845341682434,0.2324959635734558,0.1608135849237442,0.27040550112724304,0.8451620936393738,0.28937700390815735,0.36367616057395935,0.7185148000717163,0.6009150147438049,0.0002500000118743628
23,0.2846728563308716,0.12607650458812714,0.23989935219287872,0.1529950052499771,0.2720208764076233,0.8537706136703491,0.2975812554359436,0.37030184268951416,0.7167190909385681,0.6006250977516174,0.0002500000118743628
24,0.2728269696235657,0.11103116720914841,0.23885759711265564,0.1570405811071396,0.2655261158943176,0.8561115264892578,0.2999838888645172,0.3665439486503601,0.7215443849563599,0.5983713865280151,0.0002500000118743628
